"edge","edge_name","coef","pos_rank","neg_rank"
"x12_32","IFG_orbitalis_L -- PrCu_L",-0.002646030593699649,"101","101"
"x2_42","SFG_PFC_L -- ITG_L",-0.0026068775662532284,"101","101"
"x44_58","PHG_L -- LG_L",-0.002434381644110236,"101","101"
"x56_70","Cu_L -- Ins_L",-0.002405225045958499,"101","101"
"x14_22","IFG_triangularis_L -- PoCG_L",-0.0023750556195056274,"101","101"
"x44_82","PHG_L -- Thal_L",-0.0023561395546938093,"101","101"
"x22_38","PoCG_L -- MTG_L",-0.0023519546090680485,"101","101"
"x18_42","MFOG_L -- ITG_L",-0.002331582146527903,"101","101"
"x30_187","AG_L -- PSIG_L",-0.002322961618239589,"101","101"
"x20_36","RG_L -- STG_L_pole",-0.0023102658645627787,"101","101"
"x8_54","MFG_DPFC_L -- IOG_L",-0.0022863650528386265,"101","101"
"x4_60","SFG_pole_L -- rostral_ACC_L",-0.0022007683495425,"101","101"
"x62_76","subcallosal_ACC_L -- Caud_L",-0.002102774464480336,"101","101"
"x2_54","SFG_PFC_L -- IOG_L",-0.0020907283026082232,"101","101"
"x74_82","Hippo_L -- Thal_L",-0.002075896557199607,"101","101"
"x8_40","MFG_DPFC_L -- MTG_L_pole",-0.002049765830866418,"101","101"
"x38_52","MTG_L -- MOG_L",-0.0020262391899008862,"101","101"
"x8_187","MFG_DPFC_L -- PSIG_L",-0.001944668978283636,"101","101"
"x16_82","LFOG_L -- Thal_L",-0.0019083732792832008,"101","101"
"x54_70","IOG_L -- Ins_L",-0.0018939214515706082,"101","101"
"x66_187","dorsal_ACC_L -- PSIG_L",-0.001828451755371775,"101","101"
"x8_24","MFG_DPFC_L -- PrCG_L",-0.0018152844466404127,"101","101"
"x2_48","SFG_PFC_L -- FuG_L",-0.0017752368816780384,"101","101"
"x14_36","IFG_triangularis_L -- STG_L_pole",-0.0017354382418293488,"101","101"
"x68_76","PCC_L -- Caud_L",-0.0017116994389403772,"101","101"
"x68_74","PCC_L -- Hippo_L",-0.0016840436724885755,"101","101"
"x2_185","SFG_PFC_L -- PSMG_L",-0.0016707185768202616,"101","101"
"x18_185","MFOG_L -- PSMG_L",-0.001663909841291212,"101","101"
"x2_24","SFG_PFC_L -- PrCG_L",-0.001601231505580557,"101","101"
"x50_70","SOG_L -- Ins_L",-0.001585063179726409,"101","101"
"x44_187","PHG_L -- PSIG_L",-0.0015702881219706547,"101","101"
"x72_183","Amyg_L -- PSTG_L",-0.0015589066596217891,"101","101"
"x72_76","Amyg_L -- Caud_L",-0.0015402189137254613,"101","101"
"x36_50","STG_L_pole -- SOG_L",-0.001498798601109943,"101","101"
"x0_30","SFG_L -- AG_L",-0.0014962110953207037,"101","101"
"x10_38","IFG_opercularis_L -- MTG_L",-0.0014842119944261211,"101","101"
"x64_82","subgenual_ACC_L -- Thal_L",-0.0014809007934394906,"101","101"
"x14_32","IFG_triangularis_L -- PrCu_L",-0.0014763073588410006,"101","101"
"x2_187","SFG_PFC_L -- PSIG_L",-0.0014492358070174215,"101","101"
"x8_74","MFG_DPFC_L -- Hippo_L",-0.0014460518320584845,"101","101"
"x16_187","LFOG_L -- PSIG_L",-0.001380379126656147,"101","101"
"x8_52","MFG_DPFC_L -- MOG_L",-0.001346396502215947,"101","101"
"x20_187","RG_L -- PSIG_L",-0.0013087584269015598,"101","101"
"x24_38","PrCG_L -- MTG_L",-0.0012697204848775387,"101","101"
"x26_74","SPG_L -- Hippo_L",-0.00126114407438023,"101","101"
"x22_54","PoCG_L -- IOG_L",-0.0012467720146513747,"101","101"
"x26_44","SPG_L -- PHG_L",-0.0011944651371721677,"101","101"
"x8_28","MFG_DPFC_L -- SMG_L",-0.0011927275159879065,"101","101"
"x2_40","SFG_PFC_L -- MTG_L_pole",-0.0011699128468013707,"101","101"
"x32_74","PrCu_L -- Hippo_L",-0.0011528386388096096,"101","101"
"x64_80","subgenual_ACC_L -- GP_L",-0.0011234560501083748,"101","101"
"x62_78","subcallosal_ACC_L -- Put_L",-0.0010937457795761345,"101","101"
"x10_80","IFG_opercularis_L -- GP_L",-0.0010877004105921712,"101","101"
"x64_183","subgenual_ACC_L -- PSTG_L",-0.0010673625929151025,"101","101"
"x14_187","IFG_triangularis_L -- PSIG_L",-0.0010452646926377507,"101","101"
"x18_74","MFOG_L -- Hippo_L",-0.0010240661846001742,"101","101"
"x14_20","IFG_triangularis_L -- RG_L",-0.000996599962422125,"101","101"
"x2_74","SFG_PFC_L -- Hippo_L",-0.0009814803353068121,"101","101"
"x12_68","IFG_orbitalis_L -- PCC_L",-0.0009382151097371335,"101","101"
"x16_40","LFOG_L -- MTG_L_pole",-0.00092601461370561,"101","101"
"x0_185","SFG_L -- PSMG_L",-0.0009155752979613225,"101","101"
"x24_187","PrCG_L -- PSIG_L",-0.0008883723670281116,"101","101"
"x22_187","PoCG_L -- PSIG_L",-0.000877104059469873,"101","101"
