"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x62_181","subcallosal_ACC_L -- PIns_L","-0.0009995120134491764","0.0002488311010257343",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.0232900216666
"x30_76","AG_L -- Caud_L","-0.0012833961894152545","0.00032363174587166495",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.40349179905398
"x12_24","IFG_orbitalis_L -- PrCG_L","-0.023690616881134982","0.005976890468939512",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.34328495418043
"x0_28","SFG_L -- SMG_L","-0.02392956313240238","0.0060435631840870105",1.0,"1.0",0.0,"0.0",0.0,"0.0",-125.2107748462574
"x8_10","MFG_DPFC_L -- IFG_opercularis_L","-0.026266658894794036","0.006652505628972593",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.85892273209292
"x2_42","SFG_PFC_L -- ITG_L","-0.012050436707704469","0.003053065761118474",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.81495577771835
"x42_78","ITG_L -- Put_L","-0.10530265084314434","0.026854056389449654",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.00220491404528
"x28_42","SMG_L -- ITG_L","-0.04767784522246701","0.012243227084407681",1.0,"1.0",0.0,"0.0",0.0,"0.0",-123.14611482130105
"x42_62","ITG_L -- subcallosal_ACC_L","-0.0008974684640654909","0.00023117574041989024",1.0,"1.0",0.0,"0.0",0.0,"0.0",-122.76567037116953
"x181_183","PIns_L -- PSTG_L","-0.03459694718506542","0.008987978813946312",1.0,"1.0",0.0,"0.0",0.0,"0.0",-121.72386635313131
"x10_12","IFG_opercularis_L -- IFG_orbitalis_L","-0.04265337803239681","0.011171640326753805",1.0,"1.0",0.0,"0.0",0.0,"0.0",-120.73591749955521
"x22_36","PoCG_L -- STG_L_pole","-0.003559353763002884","0.0009461423702520291",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.96375475058835
"x22_40","PoCG_L -- MTG_L_pole","-0.002232942383130676","0.0005968677320825698",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.30399659870447
"x34_62","STG_L -- subcallosal_ACC_L","-0.0023955566257654755","0.0006406559265708555",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.24467529512
"x62_72","subcallosal_ACC_L -- Amyg_L","-0.0003090479870065906","8.266132077889108e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.2288809351468
"x2_54","SFG_PFC_L -- IOG_L","-0.009580838678364255","0.0025884043930152014",1.0,"1.0",0.0,"0.0",0.0,"0.0",-117.04999496997256
"x28_181","SMG_L -- PIns_L","-0.09881333383634018","0.02673180229400596",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.89267887017282
"x66_80","dorsal_ACC_L -- GP_L","-0.01367521624679114","0.0037005459344085943",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.86067840179506
"x8_52","MFG_DPFC_L -- MOG_L","-0.004245874194707592","0.0011504027788385254",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.7124537665415
"x36_62","STG_L_pole -- subcallosal_ACC_L","-0.0014339773432784158","0.0003891910045063451",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.51437122984706
"x20_54","RG_L -- IOG_L","-0.01032355928250875","0.0028108205216868976",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.1438826869993
"x4_56","SFG_pole_L -- Cu_L","-0.0006791168115564016","0.00018510589823032172",1.0,"1.0",0.0,"0.0",0.0,"0.0",-116.01769270244694
"x24_42","PrCG_L -- ITG_L","-0.033037124637775216","0.009018714479946153",1.0,"1.0",0.0,"0.0",0.0,"0.0",-115.83974792697805
"x34_52","STG_L -- MOG_L","-0.1486320206222928","0.040591210327710306",1.0,"1.0",0.0,"0.0",0.0,"0.0",-115.79248674895949
