"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x34_183","STG_L -- PSTG_L","-0.166280715124209","0.04933615590860136",1.0,"1.0",0.0,"0.0",0.0,"0.0",-106.58021101770416
"x6_8","MFG_L -- MFG_DPFC_L","-0.14364478976883047","0.04295738168635741",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.74310906612284
"x4_40","SFG_pole_L -- MTG_L_pole","-0.000556708922088047","0.00016653431079681382",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.71204090689591
"x4_38","SFG_pole_L -- MTG_L","-0.0007703144739495949","0.00023182093318232188",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.07887354414811
"x4_185","SFG_pole_L -- PSMG_L","-0.0009505607758831499","0.00028697680917620037",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.74494837532313
"x30_34","AG_L -- STG_L","-0.056826662264684503","0.01716398078271861",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.69697377107073
"x14_30","IFG_triangularis_L -- AG_L","-0.08771587586448469","0.02650917395848383",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.63621202334411
"x52_181","MOG_L -- PIns_L","-0.023011813409003587","0.006954824084822875",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.63204040208083
"x42_60","ITG_L -- rostral_ACC_L","-0.00039945481470049005","0.00012074087174612995",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.61967174048895
"x62_187","subcallosal_ACC_L -- PSIG_L","-0.0004094348465564026","0.00012426972106247594",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.18842639140175
"x68_70","PCC_L -- Ins_L","-0.0028215535301131913","0.0008565661961053244",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.16632988571787
"x4_187","SFG_pole_L -- PSIG_L","-0.0003185447819863441","9.6847183055383e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.01201315918223
"x14_185","IFG_triangularis_L -- PSMG_L","-0.08063298963528714","0.024583381230666015",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.72206304891158
"x58_187","LG_L -- PSIG_L","-0.10445581105224885","0.03187568025580976",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.62705207054867
"x4_34","SFG_pole_L -- STG_L","-0.0014519012575428445","0.0004437281333640289",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.47135027680243
"x2_52","SFG_PFC_L -- MOG_L","-0.007122480670436532","0.0021768433176274477",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.46753634823274
"x2_8","SFG_PFC_L -- MFG_DPFC_L","-0.12317061645337876","0.0379126930718044",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.7359591844341
"x20_44","RG_L -- PHG_L","-0.0015104776493833569","0.00046534200166361216",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.6460046536165
"x28_52","SMG_L -- MOG_L","-0.07108387924491956","0.0219597260587373",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.3632820979012
"x82_185","Thal_L -- PSMG_L","-0.11555295999283856","0.03583705215828651",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.96445353198251
"x8_78","MFG_DPFC_L -- Put_L","-0.09561067518654745","0.029655942858555287",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.95174156427521
"x54_78","IOG_L -- Put_L","-0.05822970338393115","0.018091498665078514",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.78177804842318
"x10_185","IFG_opercularis_L -- PSMG_L","-0.12028443656810885","0.037613655675686745",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.1262478459763
"x8_30","MFG_DPFC_L -- AG_L","-0.006772292300064171","0.002119757439591823",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.0298076969932
"x76_187","Caud_L -- PSIG_L","-0.003963239572781309","0.001245476522267621",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.6270591121477
"x40_62","MTG_L_pole -- subcallosal_ACC_L","-0.0017672209919339015","0.0005560376122415826",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.50477414368076
"x62_185","subcallosal_ACC_L -- PSMG_L","-0.000384018692737563","0.00012106738089874505",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.30560867148058
"x8_183","MFG_DPFC_L -- PSTG_L","-0.004389753594784318","0.0013849006520766404",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.23549130123506
"x4_50","SFG_pole_L -- SOG_L","-0.00047023189300193086","0.00014854291212924384",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.10600903292409
"x0_10","SFG_L -- IFG_opercularis_L","-0.20811215356684692","0.06574600260985985",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.09862013044658
"x22_48","PoCG_L -- FuG_L","-0.01618458281313086","0.005127923858145444",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.80675627195943
"x20_62","RG_L -- subcallosal_ACC_L","-0.02862164243878522","0.009074083272708122",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.74515084484729
"x8_58","MFG_DPFC_L -- LG_L","-0.01494241746182642","0.004739616404535274",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.69598569881884
"x10_58","IFG_opercularis_L -- LG_L","-0.0036234714906201865","0.0011581245937538507",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.93946652065159
"x40_64","MTG_L_pole -- subgenual_ACC_L","-0.0006204648750088156","0.0001994263818425307",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.38629147415536
"x30_42","AG_L -- ITG_L","-0.07091314743851401","0.022814483881497403",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.2915340631064
"x8_32","MFG_DPFC_L -- PrCu_L","-0.0012034845009874227","0.0003875104110361934",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.21032012159178
"x12_30","IFG_orbitalis_L -- AG_L","-0.017504460658388284","0.005657776918237616",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.8369520277236
