"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"PrCu_L_to_AG_L",0.06079382638304581,-0.0028856171685988715,0.0364299021056212,0.12035493174582386,1.0166573668609609e-51,2.0333147337219218e-51,1.0,15.990595600847742,"8.624921104107332e-51","7.231892609629516e-51","1.0"
"STG_L_to_AG_L",-0.034063047561726734,0.0003981177339387021,0.015866716601281458,0.04842074213169106,1.0,7.33192041314148e-83,3.66596020657074e-83,-21.231910611687184,"1.0","5.748892142122296e-82","4.864447197180405e-82"
"STG_L_pole_to_AG_L",-0.0014050701144843636,6.534868241347546e-5,0.0016579129331824357,0.00685515677025198,0.9999999999314688,1.3706237180870478e-10,6.853118590435239e-11,-6.487537197770965,"1.0","1.9868284989076952e-10","1.688804224071541e-10"
"MTG_L_to_AG_L",-0.02410522322830678,0.0025903210084480145,0.022540482355896434,0.07508278430967912,1.0,4.464838985177611e-25,2.2324194925888056e-25,-10.629816309998937,"1.0","8.719072357846844e-25","7.335092618506075e-25"
"MTG_L_pole_to_AG_L",-0.005929236596090347,0.0004839236951192924,0.0050294818668745744,0.016227206657203598,1.0,3.395774900476695e-30,1.6978874502383473e-30,-11.804070984626936,"1.0","7.430501103580083e-30","6.209588378080175e-30"
"ITG_L_to_AG_L",-0.04050740350858276,0.00424862321147459,0.02579431814920882,0.09830472712563354,1.0,2.5787561913563965e-41,1.2893780956781983e-41,-14.10129518666273,"1.0","7.252751788189865e-41","6.138750284054851e-41"
"PHG_L_to_AG_L",0.0034982888368464407,-0.000297868696541787,0.003173982516710896,0.008945366766544094,4.162582682700185e-33,8.32516536540037e-33,1.0,12.370318490637542,"2.3802613682843598e-32","1.9319610208944805e-32","1.0"
"ENT_L_to_AG_L",-0.00027168015095322307,6.933664144500939e-6,0.0002990073935254152,0.0009264185210890872,1.0,1.1898826222742577e-18,5.949413111371288e-19,-8.992239326561641,"1.0","2.0559741470014302e-18","1.7104562695192453e-18"
"FuG_L_to_AG_L",-0.010717211559209025,0.004162124400727888,0.017372931513732776,0.06182375723273971,0.9999999999998935,2.129686954554073e-13,1.0648434772770365e-13,-7.4423943538120465,"1.0","3.304686653618389e-13","2.7972411141668344e-13"
"SOG_L_to_AG_L",0.01615020938948924,-0.00017599302514400653,0.028384937660103977,0.09958593883148663,3.4906507596642046e-7,6.981301519328409e-7,0.999999650934924,4.993874370527282,"1.1396919672720668e-6","9.323415577425682e-7","1.0"
"MOG_L_to_AG_L",-0.009922183278351053,0.0045851306005161695,0.045333075813681775,0.15470031027022915,0.9977623574597476,0.004475285080504884,0.002237642540252442,-2.849032489938684,"1.0","0.005198563477354158","0.004497009765361703"
"IOG_L_to_AG_L",-0.09436243464278088,0.005663346326236449,0.04201315065959418,0.1428328106335316,1.0,5.093019067977723e-85,2.5465095339888616e-85,-21.569851919546533,"1.0","4.217019788285554e-84","3.514183156904629e-84"
"Cu_L_to_AG_L",0.015583526431698662,-0.0012822361466916453,0.008089083640269253,0.02213119693967078,6.967503508863703e-90,1.3935007017727406e-89,1.0,22.27821210995023,"1.6025258070386517e-88","1.2541506315954665e-88","1.0"
"LG_L_to_AG_L",0.003419999384754709,-0.00030968900684307904,0.004794449451830279,0.014175953224935743,1.5343825079205576e-14,3.068765015841115e-14,0.9999999999999847,7.708345970627417,"5.947887249804408e-14","4.8714291279072917e-14","1.0"
"rostral_ACC_L_to_AG_L",-0.0007298043772871555,2.3848431993351057e-5,0.00035268985073959135,0.0013139845372618154,1.0,3.406001148614527e-60,1.7030005743072636e-60,-17.530344854273764,"1.0","1.512966175457526e-59","1.2772504307304478e-59"
"subcallosal_ACC_L_to_AG_L",-8.26765413505092e-6,-2.9964161160503678e-6,7.922178150183932e-5,0.00032589009143844754,0.6929003450295388,0.6141993099409224,0.3070996549704612,-0.5042465681892128,"1.0","0.6306510771714828","0.5615691570572922"
"subgenual_ACC_L_to_AG_L",-2.2054798983233567e-5,-1.5552290372583914e-5,0.00010179280112145417,0.0005474616697766095,0.6445761526139948,0.7108476947720105,0.35542384738600524,-0.3708233913121888,"1.0","0.7284429347416147","0.6487895626887397"
"dorsal_ACC_L_to_AG_L",-0.006426094077892236,-0.001204602025047582,0.0066792567949388254,0.0232245939179339,0.9999999999936734,1.2653202216735833e-11,6.3266011083679165e-12,-6.852784022554402,"1.0","1.8870409645996524e-11","1.6088531074105145e-11"
