,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
136,1.4152497877e-05,1.66810944517e-05,1.4152497877e-05,-1.66810944517e-05,0.000508217108833,EC_L,8855.99468085,8484.0,5229.67964775,136
164,2.62323744128e-05,1.58139193494e-05,-2.62323744128e-05,-1.58139193494e-05,0.000489165792215,OlfactoryRadiation_L,8671.85638298,8249.5,5099.44673945,164
104,1.12211586689e-05,1.55197914983e-05,1.12211586689e-05,1.55197914983e-05,0.000531121027643,MCP_L,8275.0212766,7750.0,4947.06328097,104
137,1.57724748295e-05,1.45818508665e-05,1.57724748295e-05,1.45818508665e-05,0.000487024597457,EC_R,9099.07446809,9234.5,5230.92146441,137
46,2.06345986519e-06,1.45778677838e-05,2.06345986519e-06,1.45778677838e-05,0.000446000475894,ENT_L,9211.94148936,8728.5,5139.58580807,46
143,9.9665483715e-06,1.44345898788e-05,-9.9665483715e-06,1.44345898788e-05,0.000489951834406,Fx/ST_R,9039.36170213,8796.0,5264.76286438,143
171,7.31359787652e-05,1.41985122455e-05,-7.31359787652e-05,-1.41985122455e-05,0.000484560923314,LV_body_L,9003.95212766,9105.0,5112.81883393,171
39,1.21976618373e-05,1.40277496812e-05,1.21976618373e-05,-1.40277496812e-05,0.000485559468156,MTG_R,8932.85106383,8713.5,4924.82151088,39
48,3.99035064292e-05,1.2728568588e-05,-3.99035064292e-05,-1.2728568588e-05,0.000463827041669,FuG_L,9122.34574468,9140.0,5048.60166786,48
103,1.30431249217e-05,1.26935313216e-05,1.30431249217e-05,1.26935313216e-05,0.000525771605241,SCP_R,8329.67553191,7561.5,5289.38460967,103
172,3.46087799051e-05,1.24768750444e-05,3.46087799051e-05,1.24768750444e-05,0.000516807171959,LV_atrium_L,9262.57978723,9372.0,5247.00995796,172
157,4.82196662472e-05,1.24279048391e-05,-4.82196662472e-05,-1.24279048391e-05,0.000441773654732,UNC_R,9100.52659574,9300.5,4953.56468083,157
69,4.63710226836e-05,1.23864239946e-05,-4.63710226836e-05,-1.23864239946e-05,0.000487706360618,PCC_R,8827.09574468,8810.0,5288.47593593,69
57,3.05044680222e-05,1.22314754452e-05,-3.05044680222e-05,1.22314754452e-05,0.000535828130405,Cu_R,8696.84574468,9433.0,5150.47464273,57
30,1.53004115676e-06,1.17603093024e-05,1.53004115676e-06,-1.17603093024e-05,0.000446638204454,AG_L,9193.81382979,9287.0,4853.81723902,30
66,4.80215189705e-05,1.13748112101e-05,-4.80215189705e-05,-1.13748112101e-05,0.000515959566166,dorsal_ACC_L,8866.11702128,8785.5,5262.76208698,66
79,4.31156690453e-05,1.133674835e-05,-4.31156690453e-05,-1.133674835e-05,0.000478504828046,Put_R,8779.80851064,8575.5,5070.91223544,79
167,5.43246157409e-07,1.09008675536e-05,-5.43246157409e-07,1.09008675536e-05,0.000514037896209,Mammillary_R,8709.88297872,8722.0,4976.35757775,167
187,1.02283286535e-05,1.06329372534e-05,-1.02283286535e-05,1.06329372534e-05,0.000483415134656,PSIG_L,9094.83510638,8699.0,5006.76241203,187
129,2.02231757245e-05,1.03402516424e-05,-2.02231757245e-05,-1.03402516424e-05,0.000471635515622,TAP_R,9106.31914894,8301.0,5066.18639717,129
28,2.2393294523e-05,1.00158586009e-05,-2.2393294523e-05,-1.00158586009e-05,0.000440403540282,SMG_L,9298.29255319,9326.5,4762.88572398,28
17,5.55268553674e-07,9.2868403767e-06,-5.55268553674e-07,9.2868403767e-06,0.000473128536233,LFOG_R,8898.40957447,8826.0,5107.19172504,17
