,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
13,7.10600573367e-05,6.32547416352e-06,-7.10600573367e-05,6.32547416352e-06,0.000520741804463,IFG_orbitalis_R,8489.38297872,8681.5,5082.79946655,13
21,4.00932661846e-05,6.21448546412e-06,-4.00932661846e-05,-6.21448546412e-06,0.000510160813754,RG_R,8656.13297872,8246.5,5299.71925274,21
94,2.24611685932e-05,6.13940146286e-06,2.24611685932e-05,6.13940146286e-06,0.000568682329936,cerebellum_R,7982.03191489,7427.5,4928.10397909,94
64,5.65925470561e-05,6.09438856102e-06,-5.65925470561e-05,-6.09438856102e-06,0.000532384393135,subgenual_ACC_L,8990.87765957,9251.5,5231.14447334,64
85,4.3015004041e-05,5.94290680915e-06,-4.3015004041e-05,-5.94290680915e-06,0.000501141669229,Hypothalamus_R,8952.64361702,9281.5,5062.2651777,85
36,1.52612087941e-05,5.90537622632e-06,-1.52612087941e-05,5.90537622632e-06,0.000454619621809,STG_L_pole,9133.25,9625.5,5001.38577246,36
132,4.45948437052e-05,5.80920941148e-06,4.45948437052e-05,-5.80920941148e-06,0.000503344055833,PLIC_L,9128.4787234,9487.5,5172.49099159,132
185,2.52232281697e-05,5.77254623701e-06,-2.52232281697e-05,-5.77254623701e-06,0.000499568388635,PSMG_L,9007.67021277,9491.0,4999.73230962,185
53,3.39374366631e-05,4.88304867623e-06,-3.39374366631e-05,4.88304867623e-06,0.000525722247373,MOG_R,8564.31914894,8520.5,5289.82151031,53
88,1.63924642528e-05,4.3745747381e-06,1.63924642528e-05,4.3745747381e-06,0.000426718666695,NucAccumbens_L,9628.85106383,9391.5,4905.75899946,88
96,1.7708132819e-05,4.14050974082e-06,-1.7708132819e-05,4.14050974082e-06,0.000564741360424,CP_L,8401.67021277,7916.5,5119.14565343,96
57,1.24345622895e-05,4.08789045105e-06,-1.24345622895e-05,4.08789045105e-06,0.00056463551394,Cu_R,8341.65957447,8101.0,5189.56584203,57
92,5.77940964649e-05,4.04229115174e-06,-5.77940964649e-05,4.04229115174e-06,0.000504106156028,Snigra_L,8890.37234043,8340.0,5212.60822222,92
56,2.70004361466e-05,3.51054508982e-06,-2.70004361466e-05,-3.51054508982e-06,0.000462182709531,Cu_L,9519.5,10084.0,5217.35045102,56
155,3.56171539995e-05,3.4510835558e-06,-3.56171539995e-05,-3.4510835558e-06,0.000470402553838,SLF_R,8991.82446809,8802.0,5101.27651797,155
46,8.28275374946e-06,3.38109440121e-06,-8.28275374946e-06,3.38109440121e-06,0.000449834319332,ENT_L,9053.21808511,8627.5,4990.32895883,46
103,2.53330607997e-05,2.8641098841e-06,2.53330607997e-05,2.8641098841e-06,0.000536920951621,SCP_R,7966.5212766,6980.0,5251.30669803,103
69,2.8236939309e-05,2.80014489723e-06,-2.8236939309e-05,2.80014489723e-06,0.000465053600658,PCC_R,9074.40425532,8661.5,5202.48410453,69
131,4.66262165265e-05,2.71365645446e-06,-4.66262165265e-05,-2.71365645446e-06,0.000500435195138,ALIC_R,9084.56914894,9102.0,5373.55197224,131
81,2.03260151858e-05,2.65406663711e-06,2.03260151858e-05,2.65406663711e-06,0.000486051542224,GP_R,8826.80319149,8941.0,5124.17052017,81
45,5.22048348156e-06,2.30725296633e-06,-5.22048348156e-06,2.30725296633e-06,0.000452921024964,PHG_R,8774.67553191,8824.5,4791.0926047,45
26,1.24404702014e-05,2.07781964944e-06,-1.24404702014e-05,-2.07781964944e-06,0.000494433654096,SPG_L,9206.53191489,9660.5,5209.42314915,26
108,2.73787199632e-05,2.05547029052e-06,-2.73787199632e-05,-2.05547029052e-06,0.000456779091952,ICP_L,8962.7606383,8575.5,4963.06399455,108
